Problem,Rationale,options,correct,annotated_formula,linear_formula,category
"a certain junior class has 1,000 students and a certain senior class has 800 students . among these students , there are 40 siblings pairs , each consisting of 1 junior and 1 senior . if 1 student is to be selected at random from each class , what is the probability that the 2 students selected at will be a sibling pair ?","total number of ways of choosing one student from each group is = 800 * 1000 number of cases in which a sibling pair will be got is = 40 thus the probability that the 2 students selected will be a sibling pair is = 40 / ( 800 * 1000 ) = 1 / 20,000 c","a ) 3 / 40,000 , b ) 1 / 3,600 , c ) 1 / 20,000 , d ) 1 / 60 , e ) 1 / 15",c,"divide(1, const_3)","divide(n3,const_3)",probability
a card is drawn from a pack of 52 cards . the probability of getting a queen club or a king of heart ?,"""n ( s ) = 52 let e = event of getting a queen of club or a king of heart . n ( e ) = 2 p ( e ) = n ( e ) / n ( s ) = 2 / 52 = 1 / 26 option : b""","a ) 3 / 26 , b ) 1 / 26 , c ) 4 / 26 , d ) 6 / 26 , e ) 10 / 26",b,"divide(subtract(52, multiply(const_4, const_4)), 52)","multiply(const_4,const_4)|subtract(n0,#0)|divide(#1,n0)|",probability
find the probability that a leap year chosen at random will have 53 sundays,"""a leap year has 366 day which is 52 full weeks + 2 odd days . now these two odd days may be ( sun + mon ) , ( mon + tue ) , . . . . ( sat + sun ) . now there are total 7 ways . of which sunday appeared two times . so answer 2 / 7 answer : a""","a ) 2 / 7 , b ) 2 / 6 , c ) 2 / 5 , d ) 2 / 3 , e ) 2 / 4",a,"divide(const_2, add(const_3, const_4))","add(const_3,const_4)|divide(const_2,#0)|",probability
"there is a 20 % chance sandy will visit china this year , while there is a 70 % chance that she will visit malaysia this year . what is the probability that sandy will visit either china or malaysia this year , but not both ?","""p ( china and not malaysia ) = 0.2 * 0.3 = 0.06 p ( malaysia and not china ) = 0.7 * 0.8 = 0.56 total probability = 0.06 + 0.56 = 0.62 = 62 % the answer is d .""","a ) 44 % , b ) 48 % , c ) 54 % , d ) 62 % , e ) 70 %",d,"divide(add(20, 70), multiply(multiply(const_5, const_5), const_4))","add(n0,n1)|multiply(const_5,const_5)|multiply(#1,const_4)|divide(#0,#2)|",probability
in how many ways 3 boys and 3 girls can be seated in a row so that boys and girls are alternate ?,"""number of ways = 2 * 3 ! * 3 ! = 72 answer is d""","a ) 69 , b ) 70 , c ) 71 , d ) 72 , e ) 73",d,"multiply(factorial(3), factorial(3))","factorial(n0)|factorial(n1)|multiply(#0,#1)|",probability
"if x is to be chosen at random from the set { 1 , 2 , 3 } and y is to be chosen at random from the set { 5 , 6 , 7 } , what is the probability that xy will be even ?","""probably the best way to solve would be to use 1 - p ( opposite event ) = 1 - p ( odd ) = 1 - p ( odd ) * p ( odd ) = 1 - 2 / 4 * 2 / 3 = 8 / 12 = 5 / 6 . answer : e .""","a ) 1 / 6 , b ) 1 / 3 , c ) 1 / 2 , d ) 2 / 3 , e ) 5 / 6",e,"divide(power(2, 2), multiply(choose(5, 2), choose(2, 1)))","choose(n3,n1)|choose(n1,n0)|power(n1,n1)|multiply(#0,#1)|divide(#2,#3)|",probability
"if a card is drawn from a well shuffled deck of cards , what is the probability of drawing a black card or a face card ?","""p ( b á ´ œ f ) = p ( b ) + p ( f ) - p ( b â ˆ © f ) , where b denotes black cards and f denotes face cards . p ( b á ´ œ f ) = 26 / 52 + 12 / 52 - 6 / 52 = 8 / 13 answer : d""","a ) 7 / 13 , b ) 15 / 26 , c ) 9 / 12 , d ) 8 / 13 , e ) 29 / 52",d,"add(divide(const_3, const_52), divide(divide(const_52, const_4), const_52))","divide(const_3,const_52)|divide(const_52,const_4)|divide(#1,const_52)|add(#0,#2)|",probability
"if you keep rolling a pair of dice together till a sum of 5 or 7 is obtained , then what is the probability that a sum of 5 comes before a sum of 7 ?","this can be solved in a generic and complex way but let us not go into all that . there can be four ways through which the pair of dice results in a sum of 5 . there can be six ways through which the pair of dice can result in a sum of 7 . now , we want the probability of the pair of dice resulting in a sum of 5 before a sum of 7 . thus probability = 4 / ( 4 + 6 ) = 4 / 10 or 2 / 5 . correct answer is d ) 2 / 5","a ) 5 / 5 , b ) 4 / 5 , c ) 3 / 5 , d ) 2 / 5 , e ) 1 / 5",d,"divide(const_4, add(const_4, const_6))","add(const_4,const_6)|divide(const_4,#0)",probability
a card is drawn from a pack of 52 cards . the probability of ge ƫ ng a queen of club or a king of heart is,"""explanation : total number of cases = 52 favourable cases = 2 probability = 2 / 56 = 1 / 26 answer : c""","a ) 1 / 13 , b ) 2 / 13 , c ) 1 / 26 , d ) 1 / 52 , e ) none of these",c,"divide(subtract(52, multiply(const_4, const_4)), 52)","multiply(const_4,const_4)|subtract(n0,#0)|divide(#1,n0)|",probability
"a jar contains only red , yellow , and orange marbles . if there are 3 red , 7 yellow , and 4 orange marbles , and 3 marbles are chosen from the jar at random without replacing any of them , what is the probability that 2 yellow , 1 red , and no orange marbles will be chosen ?","""i started by finding the 2 probabilities , without calculation , like this : p ( yyr ) p ( yry ) p ( ryy ) i calculated the first one and ended in 1 / 22 . i looked at the answer choices at this point and saw answer d : 5 / 22 . this helped me realise that for the 3 possible orderings the probabbility is the same . so , it should be ( 1 / 22 ) * ( 5 ) , which indeed is 5 / 22 . e""","a ) 1 / 60 , b ) 1 / 45 , c ) 2 / 45 , d ) 3 / 22 , e ) 5 / 22",e,"divide(multiply(choose(7, 2), choose(3, 1)), choose(add(add(7, 4), 3), 3))","add(n1,n2)|choose(n1,n4)|choose(n0,n5)|add(n0,#0)|multiply(#1,#2)|choose(#3,n0)|divide(#4,#5)|",probability
the chance of rain on any given day in tel - aviv is 50 % . what is the probability q that it rained in tel - aviv on exactly 4 out of 6 randomly chosen days ?,"""chances of rain on exactly 4 days and not rain on 2 days = ( 1 / 2 ) ^ 4 * ( 1 / 2 ) ^ 2 = 1 / 64 chosing 4 days out of 6 = 6 ! / ( 4 ! * 2 ! ) = 15 chances of rain on exactly 4 days out of 6 days q = 15 / 64 ans a it is .""","a ) 15 / 64 , b ) 30 / 64 , c ) 1 / 2 , d ) 1 / 4 , e ) 52 / 64",a,"divide(choose(6, 4), inverse(multiply(power(divide(const_1, const_2), 4), power(divide(const_1, const_2), const_2))))","choose(n2,n1)|divide(const_1,const_2)|power(#1,n1)|power(#1,const_2)|multiply(#2,#3)|inverse(#4)|divide(#0,#5)|",probability
the chance of rain on any given day in tel - aviv is 50 % . what is the probability e that it rained in tel - aviv on exactly 4 out of 6 randomly chosen days ?,"""chances of rain on exactly 4 days and not rain on 2 days = ( 1 / 2 ) ^ 4 * ( 1 / 2 ) ^ 2 = 1 / 64 chosing 4 days out of 6 = 6 ! / ( 4 ! * 2 ! ) = 15 chances of rain on exactly 4 days out of 6 days e = 15 / 64 ans a it is .""","a ) 15 / 64 , b ) 30 / 64 , c ) 1 / 2 , d ) 1 / 4 , e ) 52 / 64",a,"divide(choose(6, 4), inverse(multiply(power(divide(const_1, const_2), 4), power(divide(const_1, const_2), const_2))))","choose(n2,n1)|divide(const_1,const_2)|power(#1,n1)|power(#1,const_2)|multiply(#2,#3)|inverse(#4)|divide(#0,#5)|",probability
there are 6 red shoes & 4 green shoes . if two of red shoes are drawn what is the probability of getting red shoes,"""taking 2 red shoe the probablity is 6 c 2 from 10 shoes probablity of taking 2 red shoe is 6 c 2 / 10 c 2 = 1 / 3 answer : a""","a ) 1 / 3 , b ) 1 / 4 , c ) 1 / 2 , d ) 1 / 5 , e ) 1 / 6",a,"divide(choose(6, const_2), choose(add(6, 4), const_2))","add(n0,n1)|choose(n0,const_2)|choose(#0,const_2)|divide(#1,#2)|",probability
"what is the probability that carol and bernie will get selected for a job they both applied for in a company , given that their chances of getting selected is 4 / 5 and 3 / 5 respectively ?",explanation : p ( carol ) = 4 / 5 p ( bernie ) = 3 / 5 e = { carol and bernie both get selected } p ( e ) = p ( carol ) * p ( bernie ) = 4 / 5 * 3 / 5 = 12 / 25 answer : d,"a ) 8 / 25 , b ) 11 / 24 , c ) 12 / 25 , d ) 12 / 25 , e ) 12 / 23",d,"multiply(divide(4, 5), divide(3, 5))","divide(n0,n1)|divide(n2,n1)|multiply(#0,#1)",probability
"if a card is drawn from a well shuffled pack of cards , the probability of drawing a spade or a king is ?","""p ( s ᴜ k ) = p ( s ) + p ( k ) - p ( s ∩ k ) , where s denotes spade and k denotes king . p ( s ᴜ k ) = 13 / 52 + 4 / 52 - 1 / 52 = 4 / 13 answer : d""","a ) 4 / 15 , b ) 4 / 10 , c ) 4 / 18 , d ) 4 / 13 , e ) 4 / 11",d,"add(divide(const_3, const_52), divide(divide(const_52, const_4), const_52))","divide(const_3,const_52)|divide(const_52,const_4)|divide(#1,const_52)|add(#0,#2)|",probability
what is the probability of randomly selecting one of the shortest diagonals from all the diagonals of a regular 9 - sided polygon ) ?,"""from any vertex , there are two vertices on sides , which do not make a diagonal but a side . so the remaining n - 3 vertices make diagonals . there are 2 of these diagonals which are the shortest . the probability of choosing one of the shortest diagonals is 2 / 6 = 1 / 3 . the answer is b .""","a ) 1 / 2 , b ) 1 / 3 , c ) 1 / 4 , d ) 1 / 6 , e ) 1 / 9",b,"divide(9, divide(multiply(9, subtract(9, const_3)), const_2))","subtract(n0,const_3)|multiply(n0,#0)|divide(#1,const_2)|divide(n0,#2)|",probability
seven 6 faced dice are thrown together . the probability that all the three show the same number on them is ?,"""the three dice can fall in 6 * 6 * 6 * 6 * 6 * 6 * 6 = 279936 ways . hence the probability is 6 / 279936 = 1 / 46656 answer : b""","a ) 1 / 32 , b ) 1 / 46656 , c ) 1 / 33 , d ) 1 / 38 , e ) 1 / 34",b,"multiply(multiply(multiply(divide(const_1, 6), divide(const_1, 6)), divide(const_1, 6)), divide(const_1, 6))","divide(const_1,n0)|multiply(#0,#0)|multiply(#0,#1)|multiply(#0,#2)|",probability
what is the probability of getting exactly 1 head in a single throw of five fair coins ?,"""one possible case is htttt . p ( htttt ) = 1 / 2 * 1 / 2 * 1 / 2 * 1 / 2 * 1 / 2 = 1 / 32 there are 5 c 1 = 5 possible cases . p ( 1 head ) = 5 * 1 / 32 = 5 / 32 the answer is d .""","a ) 1 / 4 , b ) 3 / 8 , c ) 3 / 16 , d ) 5 / 32 , e ) 7 / 32",d,"divide(const_2, choose(add(const_3, const_3), const_3))","add(const_3,const_3)|choose(#0,const_3)|divide(const_2,#1)|",probability
how many cubes of 2 cm edge can be cut out of a cube of 24 cm edge,"""explanation : number of cubes = ( 24 x 24 x 24 ) / ( 2 x 2 x 2 ) = 1728 answer : b""","a ) 1136 , b ) 1728 , c ) 1216 , d ) 1484 , e ) none of these",b,"divide(volume_cube(24), volume_cube(divide(2, const_100)))","divide(n0,const_100)|volume_cube(n1)|volume_cube(#0)|divide(#1,#2)|",probability
what is the probability of getting sum 10 with the help of three dice ?,"""( 1 , 3,6 ) 3 ! = 6 ( 2 , 2,6 ) = 3 ! / 2 = 3 ( 1 , 4,5 ) 3 ! = 6 ( 2 , 4,4 ) = 3 ( 2 , 3,5 ) 3 ! = 6 ( 3 , 3,4 ) = 3 prob . of getting sum 10 = ( 6 + 6 + 6 + 3 + 3 + 3 ) / 216 = 1 / 8 ans answer : b""","a ) 1 / 4 , b ) 1 / 8 , c ) 1 / 16 , d ) 1 / 24 , e ) 1 / 32",b,"divide(const_2, choose(add(const_3, const_3), const_3))","add(const_3,const_3)|choose(#0,const_3)|divide(const_2,#1)|",probability
a bag contains 6 black and 9 white balls . one ball is drawn at random . what is the probability that the ball drawn is white ?,"""let number of balls = ( 6 + 9 ) = 15 . number of white balls = 9 . p ( drawing a white ball ) = 9 / 15 = 3 / 5 hence answer is e""","a ) 4 , b ) 4 / 3 , c ) 4 / 5 , d ) 4 / 9 , e ) 3 / 5",e,"divide(add(divide(divide(factorial(9), factorial(subtract(9, const_2))), factorial(const_2)), divide(divide(factorial(6), factorial(subtract(6, const_2))), factorial(const_2))), divide(divide(factorial(add(6, 9)), factorial(subtract(add(6, 9), const_2))), factorial(const_2)))","add(n0,n1)|factorial(n1)|factorial(const_2)|factorial(n0)|subtract(n1,const_2)|subtract(n0,const_2)|factorial(#4)|factorial(#5)|factorial(#0)|subtract(#0,const_2)|divide(#1,#6)|divide(#3,#7)|factorial(#9)|divide(#10,#2)|divide(#11,#2)|divide(#8,#12)|add(#13,#14)|divide(#15,#2)|divide(#16,#17)|",probability
"if x is to be chosen at random from the set { 1 , 2 , 3 , 4 } and y is to be chosen at random from the set { 5 , 6 , 7 , 8 } , what is the probability that xy will be even ?","""probably the best way to solve would be to use 1 - p ( opposite event ) = 1 - p ( odd ) = 1 - p ( odd ) * p ( odd ) = 1 - 2 / 4 * 2 / 3 = 8 / 12 = 1 / 2 . answer : c .""","a ) 1 / 6 , b ) 1 / 3 , c ) 1 / 2 , d ) 2 / 3 , e ) 5 / 6",c,"divide(power(2, 2), multiply(choose(4, 2), choose(2, 1)))","choose(n3,n1)|choose(n1,n0)|power(n1,n1)|multiply(#0,#1)|divide(#2,#3)|",probability
three unbiased coins are tossed . what is the probability of getting at least 2 tails ?,"""explanation : s = { hhh , hht , hth , htt , thh , tht , tth , ttt } e = { htt , tht , tth , ttt } n ( s ) = 8 n ( e ) = 4 p ( e ) = n ( e ) / n ( s ) = 4 / 8 = 0.5 answer is b""","a ) 0.75 , b ) 0.5 , c ) 0.25 , d ) 0.2 , e ) 0.3",b,"negate_prob(divide(const_1, power(const_2, const_3)))","power(const_2,const_3)|divide(const_1,#0)|negate_prob(#1)|",probability
"a bag contains 3 blue and 5 white marbles . one by one , marbles are drawn out randomly until only two are left in the bag . what is the probability z that out of the two , one is white and one is blue ?","""the required probability z = probability of choosing 6 balls out of the total 8 in such a way that we remove 4 out of 5 white and 2 out of 3 blue balls . ways to select 6 out of total 8 = 8 c 6 ways to select 4 out of 5 white balls = 5 c 4 ways to select 2 out of 3 blue balls = 3 c 2 thus the required probability = ( 5 c 4 * 3 c 2 ) / 8 c 6 = 15 / 28 . d is thus the correct answer .""","a ) 15 / 56 , b ) 41 / 56 , c ) 13 / 28 , d ) 15 / 28 , e ) 5 / 14",d,"divide(multiply(3, 5), divide(multiply(add(3, 5), add(5, const_2)), const_2))","add(n0,n1)|add(n1,const_2)|multiply(n0,n1)|multiply(#0,#1)|divide(#3,const_2)|divide(#2,#4)|",probability
"from a pack of 52 cards , 1 card is drawn at random . find the probability of a face card drawn .","""explanation : total number of cases = 52 total face cards = 16 [ favourable cases ] so probability = 16 / 52 = 4 / 13 option a""","a ) 4 / 13 , b ) 1 / 52 , c ) 1 / 4 , d ) 1 / 3 , e ) none of these",a,"divide(multiply(const_4, const_3), 52)","multiply(const_3,const_4)|divide(#0,n0)|",probability
"when tossed , a certain coin has equal probability of landing on either side . if the coin is tossed 5 times , what is the probability that it will land on either side all 5 times ?","""must be either 5 heads or 5 tails 1 / 2 * 1 / 2 * 1 / 2 * 1 / 2 * 1 / 2 + 1 / 2 * 1 / 2 * 1 / 2 * 1 / 2 * 1 / 2 1 / 32 + 1 / 32 = 1 / 16 answer : d""","a ) 1 / 5 , b ) 1 / 10 , c ) 1 / 12 , d ) 1 / 16 , e ) 1 / 32",d,"divide(const_1, power(const_2, const_4.0))","power(const_2,const_4.0)|divide(const_1,#0)|",probability
there are 10 pairs of socks and 2 socks are worn from that such that the pair of socks worn are not of the same pair . what is the number of pair that can be formed .,first of all you should remember that there is a difference in left and right sock . now no . of way to select any of the sock = 10 and for second = 9 so total methods = 10 * 9 = 90 answer : a,"a ) 90 , b ) 85 , c ) 75 , d ) 95 , e ) 82",a,"add(choose(10, 2), choose(10, 2))","choose(n0,n1)|add(#0,#0)",probability
in how many ways can 21 books on english and 19 books on hindi be placed in a row on a shelf so that two books on hindi may not be together ?,"""we must place all these books as under : xexex … . xex there are 21 books on english , 19 books on hindi 19 places out of 22 can be chosen 22 c 19 = 22 c 3 = 1540 ways ans : a""","a ) 1540 , b ) 2314 , c ) 5420 , d ) 1240 , e ) 4512",a,"add(add(choose(subtract(21, const_1), const_3), permutation(subtract(21, const_1), const_2)), choose(subtract(21, const_1), const_1))","subtract(n0,const_1)|choose(#0,const_3)|choose(#0,const_1)|permutation(#0,const_2)|add(#1,#3)|add(#4,#2)|",probability
three unbiased coins are tossed . what is the probability of getting 1 heads and 1 tail ?,"""let , h - - > head , t - - > tail here s = { ttt , tth , tht , htt , thh , hth , hht , hhh } let e = event of getting 3 heads then e = { tht , hth } p ( e ) = n ( e ) / n ( s ) = 2 / 8 = 1 / 4 answer is b""","a ) 3 / 4 , b ) 1 / 4 , c ) 3 / 8 , d ) 7 / 8 , e ) 1 / 8",b,"negate_prob(divide(const_1, power(const_2, const_3)))","power(const_2,const_3)|divide(const_1,#0)|negate_prob(#1)|",probability
"a bag contains 5 white marbles and 5 black marbles . if each of 5 girls and 5 boys randomly selects and keeps a marble , what is the probability that all of the girls select the same colored marble ?","""consider a case when all girls select black marbles . . . so girl 1 will chose 1 black marble out of 10 . . and black marble will be chosen from 5 black marbles girl 1 will have a probability of picking black marble 5 / 10 girl 2 will have to pick a black marble out of 4 and total remaining no . of marbles 9 = 4 / 9 so we have probability of all girls selecting black marbles as 5 / 10 * 4 / 9 * 3 / 8 * 2 / 7 * 1 / 6 = 1 / 252 since girls can also select white marbles so we will have 2 cases so probability of girls selecting all same colour marbles is 2 * 1 / 252 or 1 / 126 ans is a""","a ) 1 / 126 , b ) 1 / 120 , c ) 1 / 24 , d ) 4 / 25 , e ) 1 / 2",a,"divide(const_2, choose(add(5, 5), 5))","add(n0,n0)|choose(#0,n0)|divide(const_2,#1)|",probability
what is the probability of randomly selecting one of the shortest diagonals from all the diagonals of a regular 7 - sided polygon ) ?,"""from any vertex , there are two vertices on sides , which do not make a diagonal but a side . so the remaining n - 3 vertices make diagonals . there are 2 of these diagonals which are the shortest . the probability of choosing one of the shortest diagonals is 2 / 4 = 1 / 2 . the answer is a .""","a ) 1 / 2 , b ) 1 / 3 , c ) 1 / 4 , d ) 1 / 6 , e ) 1 / 7",a,"divide(7, divide(multiply(7, subtract(7, const_3)), const_2))","subtract(n0,const_3)|multiply(n0,#0)|divide(#1,const_2)|divide(n0,#2)|",probability
what is the probability that a two digit number selected at random will be a multiple of ' 3 ' and not a multiple of ' 5 ' ?,"solution : there are a total of 90 two digit numbers . every third number will be divisible by ' 3 ' . therefore , there are 30 of those numbers that are divisible by ' 3 ' . of these 30 numbers , the numbers that are divisible by ' 5 ' are those that are multiples of ' 15 ' . i . e . numbers that are divisible by both ' 3 ' and ' 5 ' . there are 6 such numbers - - 15 , 30,45 , 60,75 and 90 . we need to find out numbers that are divisible by ' 3 ' and not by ' 5 ' , which will be : 30 â ˆ ’ 6 = 24 24 out of the 90 numbers are divisible by ' 3 ' and not by ' 5 ' . the required probability is therefore , = 24 / 90 = 4 / 15 answer is b","a ) 2 / 15 , b ) 4 / 15 , c ) 1 / 15 , d ) 4 / 90 , e ) 5 / 60",b,"divide(subtract(multiply(multiply(5, const_2), 3), multiply(3, const_2)), multiply(multiply(5, const_2), multiply(3, 3)))","multiply(n1,const_2)|multiply(n0,const_2)|multiply(n0,n0)|multiply(n0,#0)|multiply(#0,#2)|subtract(#3,#1)|divide(#5,#4)",probability
what is the probability of randomly selecting one of the shortest diagonals from all the diagonals of a regular 11 - sided polygon ) ?,"""from any vertex , there are two vertices on sides , which do not make a diagonal but a side . so the remaining n - 3 vertices make diagonals . there are 2 of these diagonals which are the shortest . the probability of choosing one of the shortest diagonals is 2 / 8 = 1 / 4 . the answer is c .""","a ) 1 / 2 , b ) 1 / 3 , c ) 1 / 4 , d ) 1 / 8 , e ) 1 / 11",c,"divide(11, divide(multiply(11, subtract(11, const_3)), const_2))","subtract(n0,const_3)|multiply(n0,#0)|divide(#1,const_2)|divide(n0,#2)|",probability
in a throw of a coin probability of getting a head .,"""s = { h , t } e = { h } probability = n ( e ) / n ( s ) = 1 / 2 correct option is e""","a ) 1 / 3 , b ) 2 / 3 , c ) 1 / 4 , d ) 2 / 5 , e ) 1 / 2",e,"divide(const_1, const_2)","divide(const_1,const_2)|",probability
"how many positive integers less than 500 can be formed using the numbers 1 , 2,3 , and 5 for digits , each digit being used only once .","""single digit numbers = 4 double digit numbers = 4 x 3 = 12 three digit numbers = 3 x 3 x 2 x 1 = 18 total = 34 answer : a""","a ) 34 , b ) 677 , c ) 197 , d ) 177 , e ) 191",a,"subtract(subtract(subtract(500, 1), const_4), const_1)","subtract(n0,n1)|subtract(#0,const_4)|subtract(#1,const_1)|",probability
find the probability that a leap year selected at random will have 53 sundays,"""there are 366 days in a leap year : 52 weeks and 2 more days . so , 52 sundays and 2 days . these 2 days can be : { mon , tue } , { tue , wed } , { wed , thu } , { thu , fri } , { fri , sat } , { sat , sun } and { sun , mon } ( 7 cases ) . in order to have 53 sundays we should have either { sat , sun } or { sun , mon } case . the probability of that is 2 / 7 . answer : e .""","a ) 6 / 7 , b ) 5 / 7 , c ) 4 / 7 , d ) 3 / 7 , e ) 2 / 7",e,"divide(const_2, add(const_3, const_4))","add(const_3,const_4)|divide(const_2,#0)|",probability
"a bag contains 15 red jellybeans and 15 blue jellybeans . if 3 jellybeans are removed one at a time , at random and are not replaced , what is the probability that all 3 jellybeans removed from the bag are blue ?","""method - 1 10 red jellybeans and 10 blue jellybeans total outcomes = no . of ways to choose 3 jelly bean at random out of a total 20 jellybeans = 20 c 3 = 1140 favourable outcomes = no . of ways to choose 3 jelly bean such that they are all blue out of 10 blue = 10 c 3 = 120 probability = favourable outcomes / total outcomes = 10 c 3 / 20 c 3 probability = 120 / 1140 = 2 / 19 answer : option b method - 2 probability of first jelly bean to be blue = 10 / 20 [ total 10 blue out of total 20 jellybeans ] probability of second jelly bean to be blue = 9 / 19 [ total 9 blue remaining out of total 19 jellybeans remaining ] probability of third jelly bean to be blue = 8 / 18 [ total 8 blue remaining out of total 18 jellybeans remaining ] required probability = ( 10 / 20 ) * ( 9 / 19 ) * ( 8 / 18 ) = 3 / 10 answer : option e""","a ) 9 / 100 , b ) 2 / 19 , c ) 1 / 8 , d ) 3 / 20 , e ) 3 / 10",e,"divide(choose(15, 3), choose(add(15, 15), 3))","add(n0,n0)|choose(n0,n2)|choose(#0,n2)|divide(#1,#2)|",probability
how many cubes of 5 cm edge can be cut out of a cube of 15 cm edge,"""explanation : number of cubes = ( 15 x 15 x 15 ) / ( 5 x 5 x 5 ) = 27 answer : c""","a ) 36 , b ) 232 , c ) 27 , d ) 48 , e ) none of these",c,"divide(volume_cube(15), volume_cube(divide(5, const_100)))","divide(n0,const_100)|volume_cube(n1)|volume_cube(#0)|divide(#1,#2)|",probability
what is the probability that company g ' s advertisement will be one of the first two be shown during the first commercial break ?,g 1 / 15 + ( 14 / 15 ) * 1 / 14 = 2 / 15 d,"a ) 1 / 225 , b ) 1 / 30 , c ) 1 / 15 , d ) 2 / 15 , e ) 4 / 15",d,"divide(const_2, multiply(const_3, const_5))","multiply(const_3,const_5)|divide(const_2,#0)",probability
"the maitre ' d at an expensive manhattan restaurant has noticed that 60 % of the couples order dessert and coffee . however , 20 % of the couples who order dessert do n ' t order coffee . what is the probability y that the next couple the maitre ' d seats will not order dessert ?","""could you use a venn diagram and just go with the number 100 . 60 people order dessert and coffee . . . which is the union of d and c . y = 2 / 10 of d are n ' t in d u c = so 8 / 10 of d are in duc which means = 60 = 8 / 10 d . so d in total = 75 , and 15 d ' s are n ' t in d union c . which means 25 people are in c only + neither . b 25 %""","a ) 20 % , b ) 25 % , c ) 40 % , d ) 60 % , e ) 75 %",b,"multiply(subtract(const_1, divide(divide(60, multiply(multiply(const_2, const_5), multiply(const_2, const_5))), subtract(const_1, divide(20, multiply(multiply(const_2, const_5), multiply(const_2, const_5)))))), multiply(multiply(const_2, const_5), multiply(const_2, const_5)))","multiply(const_2,const_5)|multiply(#0,#0)|divide(n0,#1)|divide(n1,#1)|subtract(const_1,#3)|divide(#2,#4)|subtract(const_1,#5)|multiply(#1,#6)|",probability
"what is the probability that the sum of two dice will yield a 7 , and then when both are thrown again , their sum will again yield a 7 ? assume that each die has 6 sides with faces numbered 1 to 6 .","""in order to get the sum of the two dices to be 7 , there are six combinations that satisfy this requirement . 1 + 6 = 7 2 + 5 = 7 3 + 4 = 7 4 + 3 = 7 5 + 2 = 7 6 + 1 = 7 each combination has 1 / 36 of probability of occurrence , or in total 6 / 36 for the six combinations , which is 1 / 6 . in order to get the probability of this occurring twice in a row we multiply 1 / 6 * 1 / 6 and we get 1 / 36 . the answer is b .""","a ) 1 / 144 , b ) 1 / 36 , c ) 1 / 12 , d ) 1 / 6 , e ) 1 / 3",b,"multiply(divide(6, power(6, const_2)), divide(6, power(6, const_2)))","power(n2,const_2)|divide(n2,#0)|multiply(#1,#1)|",probability
5 letters have to be put in 5 different envelopes numbered 1 through 5 such that each of the letters go into only 1 envelope . the letter is said to be put in correct position if for example letter 1 goes into envelope 1 . now what is the probability that all letters be put into wrong envelopes ?,"this q is based on derangement , a permutation in which all elements are in the wrong position . number of derangements = n ! ( 12 ! − 13 ! + 14 ! + . . . + ( ( − 1 ) n ) n ! ) n ! ( 12 ! − 13 ! + 14 ! + . . . + ( ( − 1 ) n ) n ! ) . . of course it can be derived but thats not required . . since there are 5 letters and 5 envelopes : - derangements = 5 ! ( 12 ! − 13 ! + 14 ! − 15 ! ) derangements = 5 ! ( 12 ! − 13 ! + 14 ! − 15 ! ) = > 120 ( 1 / 2 − 1 / 6 + 1 / 24 − 1 / 120 ) = 60 − 20 + 5 − 1 = 44.120 ( 1 / 2 − 1 / 6 + 1 / 24 − 1 / 120 ) = 60 − 20 + 5 − 1 = 44 . total possible ways = 5 ! = 120 . therefore required prob , p = 44 / 120 = 11 / 30 . ans d","a ) 1 / 3 , b ) 2 / 3 , c ) 11 / 120 , d ) 11 / 30 , e ) 76 / 120",d,"subtract(add(subtract(inverse(factorial(const_2)), inverse(factorial(const_3))), inverse(factorial(const_4))), inverse(factorial(5)))","factorial(const_4)|factorial(const_2)|factorial(const_3)|factorial(n0)|inverse(#0)|inverse(#1)|inverse(#2)|inverse(#3)|subtract(#5,#6)|add(#4,#8)|subtract(#9,#7)",probability
in how many ways 4 boys and 4 girls can be seated in a row so that boys and girls are alternate ?,"""number of ways = 2 * 4 ! * 4 ! = 1152 answer is a""","a ) 1152 , b ) 1987 , c ) 2012 , d ) 1856 , e ) 2546",a,"multiply(factorial(4), factorial(4))","factorial(n0)|factorial(n1)|multiply(#0,#1)|",probability
"a basket contains 6 apples , of which 1 is spoiled and the rest are good . if we select 2 apples from the basket simultaneously and at random , what is the probability that the 2 apples selected will include the spoiled apple ?","""the total number of ways to choose 2 apples is 6 c 2 = 15 the number of ways that include the spoiled apple is 5 c 1 = 5 p ( the spoiled apple is included ) = 5 / 15 = 1 / 3 the answer is a .""","a ) 1 / 2 , b ) 1 / 3 , c ) 1 / 4 , d ) 1 / 5 , e ) 1 / 6",a,"divide(choose(subtract(6, 1), 1), choose(6, 2))","choose(n0,n2)|subtract(n0,n1)|choose(#1,n1)|divide(#2,#0)|",probability
three unbiased coins are tossed . what is the probability of getting 2 heads and 2 tail ?,"""let , h - - > head , t - - > tail here s = { ttt , tth , tht , htt , thh , hth , hht , hhh } let e = event of getting 3 heads then e = { thh , hth , hht , tht , tth } p ( e ) = n ( e ) / n ( s ) = 5 / 8 answer is a""","a ) 5 / 8 , b ) 1 / 4 , c ) 3 / 8 , d ) 7 / 8 , e ) 1 / 8",a,"negate_prob(divide(const_1, power(const_2, const_3)))","power(const_2,const_3)|divide(const_1,#0)|negate_prob(#1)|",probability
